measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Republic of Kiribati,Male,15-49 years,Self-harm,Rate,2021,51.43726377601263,66.69562572321021,35.68546410549376
Deaths,Republic of Kiribati,Female,15-49 years,Self-harm,Rate,2021,7.891140490975061,11.101522364061857,5.446207182257595
Deaths,People's Republic of China,Male,15-49 years,Self-harm,Rate,2021,7.148371646934742,9.234773645860468,5.578260131931553
Deaths,People's Republic of China,Female,15-49 years,Self-harm,Rate,2021,4.274235169414819,6.0284688288226995,3.2119229854429974
Deaths,Independent State of Samoa,Male,15-49 years,Self-harm,Rate,2021,29.459207795140433,40.238798377317096,20.10022944770491
Deaths,Independent State of Samoa,Female,15-49 years,Self-harm,Rate,2021,11.04809748972776,16.011633970330255,7.340271626552877
Deaths,Malaysia,Male,15-49 years,Self-harm,Rate,2021,8.477669270524554,10.103860399360881,7.306863452091312
Deaths,Malaysia,Female,15-49 years,Self-harm,Rate,2021,2.072283908003468,3.222712371640722,1.6032294809360916
Deaths,Solomon Islands,Male,15-49 years,Self-harm,Rate,2021,47.64769803422206,63.803147881991706,31.46787101556203
Deaths,Solomon Islands,Female,15-49 years,Self-harm,Rate,2021,14.276851368193237,21.37205478614265,8.404020404087932
Deaths,Republic of Maldives,Male,15-49 years,Self-harm,Rate,2021,3.792016895488099,5.080993563367504,2.845428652638061
Deaths,Republic of Maldives,Female,15-49 years,Self-harm,Rate,2021,0.5104719880599902,0.7169962875549243,0.36742045927861816
Deaths,Democratic People's Republic of Korea,Male,15-49 years,Self-harm,Rate,2021,10.637906056376574,16.807408785938165,7.0843832067516805
Deaths,Democratic People's Republic of Korea,Female,15-49 years,Self-harm,Rate,2021,7.770533794853746,14.18529197586613,4.7226719337198855
Deaths,Kingdom of Thailand,Male,15-49 years,Self-harm,Rate,2021,25.580139800392686,31.73918516999737,19.518430570242025
Deaths,Kingdom of Thailand,Female,15-49 years,Self-harm,Rate,2021,4.574178398945371,6.349302789401484,3.3259518762480154
Deaths,Republic of Malta,Male,15-49 years,Self-harm,Rate,2021,7.600936728436517,8.463825158734872,6.707559605834965
Deaths,Republic of Malta,Female,15-49 years,Self-harm,Rate,2021,1.4795399791513248,1.676839343522675,1.2986151588829107
